二哥电影,#genre#
凤凰中文,rtmp://58.200.131.2:1935/livetv/fhzw
凤凰中文,http://117.169.124.37:6610/ysten-businessmobile/live/fhchinese/1.m3u8
凤凰资讯,http://117.169.120.160:8080/live/fhzixun/1.m3u8
凤凰资讯,http://live.centerch.com/fhzx.m3u8
凤凰资讯,rtmp://ivi.bupt.edu.cn:1935/livetv/fhzx
凤凰资讯,http://117.169.124.37:6610/ysten-businessmobile/live/fhzixun/1.m3u8
凤凰香港,http://183.207.249.34/PLTV/3/224/3221226975/index.m3u8
凤凰香港,http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8
凤凰香港,http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8?icpid=88888888&from=0&hms_devid=3804
凤凰香港,http://223.82.250.72/live/fhhongkong/1.m3u8
凤凰电影,http://hdtv.haust.edu.cn/hls/fhdy.m3u8
凤凰电影,rtmp://58.200.131.2:1935/livetv/fhdy
凤凰电影,rtmp://ivi.bupt.edu.cn/livetv/fhdy
凤凰电影,rtmp://ivi.bupt.edu.cn:1935/livetv/fhdy
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港卫视,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv
Viu TV1,mitv://147.135.39.171:9906/5d9a2e7b000d28609cc0d68b68a05dd1.ts
Viu TV2,mitv://147.135.39.171:9906/5d9a2e7c0000af799cc0d74673341867.ts
TVB J2,mitv://147.135.39.171:9906/5defdab5000c62a56ea0b90a0b532a03.ts
TVB翡翠,mitv://147.135.39.171:9906/5f29b38e0002c26d622cbe2d7ef03624.ts
TVB翡翠,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=188&Fsv_rate_id=1&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
TVB翡翠,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=188&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv&_res_tag_=video
TVB翡翠,http://116.199.5.51:8114/00000000/2e368e04c76446bc9d30ca7a9f934dae/index.m3u8?Fsv_cid=1034&Fsv_chan_hls_se_idx=188&Fsv_ctype=LIVES&version=9&Fsv_rate_id=1&Fsv_otype=1&FvSeid=5abd1660af1babb4&Pcontent_id=7f88be5fb6fd426494f6aa240f1dc7a9&Provider_id=00000000&Fsv_filetype=1&Fsv_ShiftEnable=0&Fsv_SV_PARAM1=0&Fsv_ShiftTsp=240&Fsv_CMSID=00000000&AuthInfo=P2ZSH2gNMZ8aiVfV%2BjCYczoGsAYoDo4KY5I3eHfJhGTKdSzgLwCHoSet9it9fXrMLwehJxh9gmO%2F%0AOFrWyxI%2BtteLTJnZKT7Lg8BRYQNXMQU%3D%0A
TVB明珠,mitv://147.135.39.171:9906/5defe1400004ed256eba461e3fa17ad5.ts
TVB明珠,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=12&Fsv_rate_id=1&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
TVB明珠,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=12&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1,tvming-XGMingZhu
now直播,mitv://147.135.39.171:9906/5f36d6960000b7b0957da868172e4aad.ts
有线新闻,http://125.89.166.215/live-hwcdn.utvlive.top/live/97609933ef744f008e19a6e0d5ef9f2b/edd34677cc9548539d36b10c1c594b94-3.m3u8
有线娱乐,http://125.89.166.215/live-hwcdn.utvlive.top/live/d4e03afe056a4f2da070d5f789f3ac9e/a5ed7598a90246199df373924de367d4-3.m3u8
有线娱乐,http://live-hwcdn.utvlive.top/live/d4e03afe056a4f2da070d5f789f3ac9e/a5ed7598a90246199df373924de367d4.m3u8
有线财经,http://125.89.166.215/live-hwcdn.utvlive.top/live/add598ff3f90428da3fbebb644ba135b/2bbaa83758ba412bbdd8d08626c56eb4-3.m3u8
有线财经,http://live-hwcdn.utvlive.top/live/add598ff3f90428da3fbebb644ba135b/2bbaa83758ba412bbdd8d08626c56eb4.m3u8
无线财经,mitv://147.135.39.171:9906/5e975a520003b3a4a4cdbd1e7a4a258e.ts
无线财经,http://tv.sason.xyz/proxy/tvb.php?id=cj
耀才财经,rtmp://202.69.69.180:443/webcast/bshdlive-pc
耀才财经,http://202.69.67.66:443/webcast/bshdlive-mobile/playlist.m3u8
亚美卫视,https://dcunilive30-lh.akamaihd.net/i/dclive_1@535522/master.m3u8
星空卫视,http://hdtv.haust.edu.cn/hls/startv.m3u8
星空卫视,rtmp://58.200.131.2:1935/livetv/startv
星空卫视,rtmp://ivi.bupt.edu.cn:1935/livetv/startv
星空体育,rtmp://58.200.131.2:1935/livetv/starsports
星空体育,rtmp://ivi.bupt.edu.cn:1935/livetv/starsports
阳光卫视,http://121.31.30.90:8085/ysten-business/live/yangguangstv/yst.m3u8
阳光卫视,http://121.31.30.90:8085/ysten-business/live/yangguangstv/1.m3u8
阳光卫视,http://stream.chinasuntv.com/680k/mid_video_index.m3u8
新视觉台,mitv://147.135.39.171:9906/5e9b4b120003d450b4323d3f070d7242.ts
亚视本港,https://15813114727637862976168173814320.live.prod.hkatv.com/a1_cbr_lo_720p.m3u8
亚视本港,https://15813114727637862976168173814320.live.prod.hkatv.com/a1_cbr_lo.m3u8
亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
亚洲影院,http://101.71.255.229:6610/zjhs/2/10052/z.m3u8?ZTEUPSTREAM=1&IASHttpSessionId=SLB4328320190321203540013412&m3u8_level=2&ztecid=10052&virtualDomain=zjhs.live_hls.zte.com&ispcode=3&tid=C3V7K4ET1VFDUJY6C1IASRV55G66&ts=1553493153
卫视音乐,rtmp://58.200.131.2:1935/livetv/channelv
亚旅卫视,http://hls.jingchangkan.tv/jingchangkan/156722438_0HaM/index.m3u8
点掌财经,http://cclive.aniu.tv/live/anzb.m3u8
儒释道经,https://js1.amtb.cn/liveedge/_definst_/livetv/playlist.m3u8
澳门莲花,mitv://147.135.39.171:9906/5eb29ebb000185ac0f512ced64dc1bd4.ts
澳视澳门,http://61.244.22.4/ch1/ch1.live/playelist.m3u8
澳视葡文,http://61.244.22.4/ch2/ch2.live/playelist.m3u8
澳视卫星,http://61.244.22.4/ch3/ch3.live/playelist.m3u8
台湾备用,#genre#
TVBS新闻,mitv://147.135.39.171:9906/5ea4852100052c6fd83d1a840a5e74b2.ts
TVBS欢乐,mitv://147.135.39.171:9906/5ea13fd1000849aacb76488073a656f2.ts
壹综合,mitv://147.135.39.171:9906/5ee385f50006a708ce58bfde6dca70d4.ts
壹新闻,mitv://147.135.39.171:9906/5ede0911000cbd09b8e8e6d42be1693c.ts
民视,mitv://147.135.39.171:9906/5ea4852c00050ce0d83d456d45c920f7.ts
中视,mitv://147.135.39.171:9906/5e7cf2610003655a3da780b8383c7868.ts
台视,mitv://147.135.39.171:9906/5e59fad5000832893b0c1fb83c050635.ts
华视,mitv://147.135.39.171:9906/5e7cf2610009c2c53da7824e77346905.ts
公视,mitv://147.135.39.171:9906/5e9e760d00082ccec09222e0768b3cba.ts
民视新闻,mitv://147.135.39.171:9906/5ea522940007279ddaa4243912175fe1.ts
中天娱乐,mitv://147.135.39.171:9906/5defdaa0000974136ea066475c980b2d.ts
中天新闻,mitv://147.135.39.171:9906/5d9a3461000c5e329cd7e0cc2586313a.ts
中天新闻,mitv://147.135.39.171:9906/5eec7db90008195bf160a77f5d316f05.ts
中天亚洲,mitv://147.135.39.171:9906/5defdaa000044ff26ea064ef7ec56d18.ts
寰宇新闻,mitv://147.135.39.171:9906/5cc68d1700042feefadeb4a262de7324.ts
三立新闻,mitv://147.135.39.171:9906/5ea13bb00007ef12cb662788049d46cf.ts
东森综合,mitv://147.135.39.171:9906/5eb29b860006eefb0f44a74c7d3950ab.ts
东森新闻,mitv://147.135.39.171:9906/5f167315000ed32216f8c32859024c90.ts
东森亚洲,mitv://147.135.39.171:9906/5ede6859000be2b3ba5d17d529f60875.ts
东森财经,mitv://147.135.39.171:9906/5eec88f90004b79cf18c98952f812d55.ts
东森电影,mitv://147.135.39.171:9906/5defe13e0007d9d56eba3f090a5f5661.ts
东森洋片,mitv://147.135.39.171:9906/5ea13baf000efb4ecb66256578d5166f.ts
东森超视,mitv://147.135.39.171:9906/5e7cf271000168dd3da7beac2d47191e.ts
东森幼幼,mitv://147.135.39.171:9906/5e7cf98d000118463dc383fc2a2c3dc9.ts
纬来戏剧,mitv://147.135.39.171:9906/5dfb22fe0007e7e5170148dc58a73c8f.ts
纬来电影,mitv://147.135.39.171:9906/5e9b449a00082550b418f99837b132a5.ts
纬来日本,mitv://147.135.39.171:9906/5e9b449a0002edbbb418f850343a565d.ts
纬来育乐,mitv://147.135.39.171:9906/5e9e72fe00062f43c0862fbb1fb33e3f.ts
纬来体育,mitv://147.135.39.171:9906/5e9b4499000c2343b418f6ba6f8227e4.ts
八大综合,mitv://147.135.39.171:9906/5e9e749a000d3deac08c7af061bf4966.ts
八大第一,mitv://147.135.39.171:9906/5e9e749b00040aaac08c7c7774062e4f.ts
八大娱乐,mitv://147.135.39.171:9906/5e9e749b00099094c08c7dde5ba80b06.ts
八大戏剧,mitv://147.135.39.171:9906/5e9e749a0007249ec08c795a648451d4.ts
非凡新闻,mitv://147.135.39.171:9906/5e5a0a88000184ac3b49713b638b501b.ts
天映经典,mitv://147.135.39.171:9906/5e7cf98f00024e183dc38c1a5eb34315.ts
天映频道,mitv://147.135.39.171:9906/5e7cfab00001b8d03dc7f4e34dfd4368.ts
卫视卡式,mitv://147.135.39.171:9906/5ec62ecd0005c21e5bbc173f4d127405.ts
卫视西片,mitv://147.135.39.171:9906/5e7cf2710006c39d3da7c01341645170.ts
卫视中文,mitv://147.135.39.171:9906/5defdaa1000b1a3d6ea06a9c17f77c44.ts
龙祥时代,mitv://147.135.39.171:9906/5e7cf98e000cd16b3dc38ae278e073ec.ts
好莱坞,mitv://147.135.39.171:9906/5e7cf98e0006ee193dc3896b4e817161.ts
美亚电影,mitv://147.135.39.171:9906/5e7cf98e00020cab3dc388220eeb0f7e.ts
华纳电影,mitv://147.135.39.171:9906/5defdaa0000d7e3f6ea0675076d26f43.ts
星卫电影,mitv://147.135.39.171:9906/5e9b4b1300069e38b43241e231037404.ts
高点综合,mitv://147.135.39.171:9906/5ede79e400080386baa19dd37ef10dd6.ts
动物星球,mitv://147.135.39.171:9906/5ea13bb00003dd3ccb66267f33fc00d1.ts
佛卫慈悲,mitv://147.135.39.171:9906/5ede79e4000e493cbaa19f79282b2078.ts
大爱一台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱一台,mitv://147.135.39.171:9906/5e6003e8000acb9e529f929c58ca20eb.ts
大爱二台,mitv://147.135.39.171:9906/5ee385f4000c2291ce58bd5d3ac82d3f.ts
大爱二台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
大爱海外,https://pulltv3.wanfudaluye.com/live/tv3.m3u8
好消息1台,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch1-1.m3u8
好消息2台,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8
探索频道,rtmp://58.200.131.2:1935/livetv/discovery
探索频道,mitv://147.135.39.171:9906/5ea13fde000ec14fcb767cee2fe05289.ts
探索动力,mitv://147.135.39.171:9906/5e9b4b11000d8f76b4323bd8404c1e97.ts
探索亚洲,mitv://147.135.39.171:9906/5ea13bb1000a50e9cb662c0c47e9549f.ts
探索科学,mitv://147.135.39.171:9906/5ea13fe1000b88c3cb7687db43d01a4a.ts
国家地理,rtmp://58.200.131.2:1935/livetv/natlgeo
国家地理,mitv://147.135.39.171:9906/5ea13fdf0004d36ecb767e555c896a66.ts
地理野生,mitv://147.135.39.171:9906/5ea13fdf000c8069cb7680495d882a82.ts
MO亲子台,mitv://147.135.39.171:9906/5cc68d17000c69a4fadeb6c56c456357.ts
HBO 强档,mitv://147.135.39.171:9906/5eb3cc990005815c13ec59265dc86656.ts
HBO 原创,mitv://147.135.39.171:9906/5eb3cc99000aa55e13ec5a6e1cb7093f.ts
FOX,mitv://147.135.39.171:9906/5ea13fe000031a3acb7681c056f53bb5.ts
FOX,mitv://147.135.39.171:9906/5ee3894d000983f2ce65d05916fb74df.ts
FOX犯罪影院,mitv://147.135.39.171:9906/5ea13bb10001df6fcb6629da1a076a80.ts
FOX家庭影院,mitv://147.135.39.171:9906/5ea13bb0000c242fcb66289275e41d0b.ts
FOX经典电影,mitv://147.135.39.171:9906/5d9a33bb000a299f9cd557cf4d121c23.ts
FOX动作影院,mitv://147.135.39.171:9906/5ea13fe100005a81cb7684fc6e2766c4.ts
FOX体育1,mitv://147.135.39.171:9906/5e5a0c21000ae2fd3b4fb144005e7ca2.ts
FOX体育2,mitv://147.135.39.171:9906/5e5a0c1500031eca3b4f80701a63557e.ts
FOX体育3,mitv://147.135.39.171:9906/5e5a0a86000b5a873b496bec12b01e3b.ts
ELTA体育1,mitv://147.135.39.171:9906/5e7cf98c00060e963dc3815c316636de.ts
ELTA体育2,mitv://147.135.39.171:9906/5e7cf264000a88743da78e456d1b6180.ts
ELTA体育3,mitv://147.135.39.171:9906/5e7cf98d000729c73dc38592441f1b5a.ts
博斯无限,mitv://147.135.39.171:9906/5defdab600015d2f6ea0ba230ef664fe.ts
博斯高球,mitv://147.135.39.171:9906/5defe13d000eb2006eba3ce647e056da.ts
博斯运动,mitv://147.135.39.171:9906/5defdab60006b85e6ea0bb7b06aa7d1f.ts
迪士尼中文,mitv://147.135.39.171:9906/5ece9f9a00077db97cb4ca673b8f3103.ts
迪士尼中文,mitv://147.135.39.171:9906/5dea93920003218e5a02c4ca21f02f09.ts
迪士尼粤语,mitv://147.135.39.171:9906/5ece9f9a0001c4dd7cb4c8f0195f26a2.ts
CN卡通中文,mitv://147.135.39.171:9906/5defe14000091d616eba47377b3a16c4.ts
CN卡通英语,mitv://147.135.39.171:9906/5dea93910003206a5a02c0e279871b82.ts
Z频道,mitv://147.135.39.171:9906/5e9b4b1200093ac2b4323ea63695594b.ts
OutDoor,mitv://147.135.39.171:9906/5eb2a08a0005f30e0f583eae16ae002e.ts
AXN,mitv://147.135.39.171:9906/5e7cf98f000d3ec43dc38ee9739950cb.ts
CINEMAX,mitv://147.135.39.171:9906/5d9a26b0000b16229ca2651679a25739.ts
Thrill,mitv://147.135.39.171:9906/5ed15ffd0002a6fa87745cbf1c0f1bd0.ts
BBC Cbeebies,mitv://147.135.39.171:9906/5dea93910008156c5a02c21b24cc6be4.ts
Nick Jr,mitv://147.135.39.171:9906/5dea9391000dacc55a02c39228854fcb.ts
Animax,mitv://147.135.39.171:9906/5d9a25ad00050d2e9c9e6fc864b540d4.ts
nickelodeon,mitv://147.135.39.171:9906/5d0e403800011a4910fbd8d44f7a61bc.ts
KIX,mitv://147.135.39.171:9906/5ed1603f000d135b8775612e2a3f7c34.ts
Mediacorp5,mitv://147.135.39.171:9906/5ea29be000056759d0c5e25c6faf4d5e.ts
Mediacorp8,mitv://147.135.39.171:9906/5ea29be0000e37c8d0c5e49e1d7e2fe9.ts
Suria,mitv://147.135.39.171:9906/5ea53aef000da536db0349674f85730c.ts
Vasantham,mitv://147.135.39.171:9906/5ea53b31000978a0db044a1d66cb6b06.ts
HITS,mitv://147.135.39.171:9906/5ed1603f0006f0c387755fa818635fdb.ts
MediacorpU,mitv://147.135.39.171:9906/5ea29be100062894d0c5e6736df27aa0.ts
MTV,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=202&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
MTV,mitv://147.135.39.171:9906/5e975a500008d0a0a4cdb69671c34c21.ts
Channel V,rtmp://ivi.bupt.edu.cn:1935/livetv/channelv
电影频道,#genre#
首映電影,http://szdl.3322.org:8888/rtp/233.50.201.239:5140
環球電影,http://szdl.3322.org:8888/rtp/233.50.201.231:5140
動作影院,http://szdl.3322.org:8888/rtp/233.50.201.232:5140
歐美影院,http://szdl.3322.org:8888/rtp/233.50.201.230:5140
華語影院,http://szdl.3322.org:8888/rtp/233.50.201.240:5140
4K超清,http://szdl.3322.org:8888/rtp/233.50.201.243:5140
古裝劇場,http://szdl.3322.org:8888/rtp/233.50.201.236:5140
諜戰劇場,http://szdl.3322.org:8888/rtp/233.50.201.235:5140
白金劇場,http://szdl.3322.org:8888/rtp/233.50.201.234:5140
熱門綜藝,http://szdl.3322.org:8888/rtp/233.50.201.233:5140
粵語影片1,https://cn-jssz-cmcc-live-01.bilivideo.com/live-bvc/614163/live_342827840_74242052.m3u8
粵語影片2,https://cn-jssz-cmcc-live-01.bilivideo.com/live-bvc/933996/live_88547185_8335137.m3u8
